Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover;vwap
2025-12-08;43,18;43,71;42,85;43,71;43,71;641373;2721;27941636;43,5653
2025-12-05;43,5;43,71;43,06;43,17;43,17;561440;2350;24295137;43,2729
2025-12-04;43,15;43,39;42,87;43,37;43,37;633647;2168;27415349;43,266
2025-12-03;43,44;43,47;42,905;43,05;43,05;709000;2631;30555154;43,0961
2025-12-02;43;43,65;42,95;43,48;43,48;739517;3143;32133353;43,4518
2025-12-01;42,82;43,17;42,4;43,06;43,06;807057;2349;34694957;42,9875
2025-11-28;42,64;43,22;42,64;43,02;43,02;816226;2105;35092271;43,0028
2025-11-27;42,62;42,89;42,42;42,55;42,55;404874;1474;17235285;42,5695
2025-11-26;42,45;42,76;42,14;42,65;42,65;500805;2180;21321497;42,5783
2025-11-25;42,03;42,51;41,7;42,37;42,37;573932;2290;24283434;42,3106
2025-11-24;42,01;42,33;41,83;42,03;42,03;921532;2757;38751856;42,0516
2025-11-21;41,03;41,82;40,85;41,75;41,75;765600;3581;31851854;41,6038
2025-11-20;41,5;41,78;41,2;41,43;41,43;661855;3215;27447318;41,4703
2025-11-19;41,24;41,53;40,72;41,3;41,3;669437;2327;27631847;41,2762
2025-11-18;41,59;41,76;41,23;41,32;41,32;814599;3217;33703364;41,3742
2025-11-17;41,5;42,23;41,47;41,96;41,96;1074740;3354;45098134;41,9619
2025-11-14;41,72;41,93;41,23;41,63;41,63;689182;3388;28675904;41,6086
2025-11-13;41,3;42,03;41,29;41,85;41,85;930418;3506;38931266;41,8428
2025-11-12;40,96;41,33;40,92;41,15;41,15;775649;2463;31919356;41,1518
2025-11-11;40,69;40,95;40,41;40,76;40,76;648201;2344;26432671;40,7785
2025-11-10;40,1;40,77;39,9;40,51;40,51;653536;2864;26448923;40,4705
2025-11-07;39,75;40,11;39,58;39,82;39,82;616810;1958;24564377;39,8249
2025-11-06;39,7;39,96;39,35;39,81;39,81;981853;3398;39067091;39,7891
2025-11-05;38,62;40,46;38,53;39,76;39,76;1272317;7532;50743918;39,8831
2025-11-04;38,94;39,26;38,62;39,19;39,19;800964;3471;31333052;39,1198
2025-11-03;39,05;39,31;39,02;39,3;39,3;584742;1902;22956667;39,2595
2025-10-31;39,55;39,55;39,07;39,13;39,13;868357;2144;33998470;39,1526
2025-10-30;40,08;40,08;39,4;39,6;39,6;594548;2639;23549412;39,6089
2025-10-29;40,24;40,28;39,91;39,95;39,95;614117;1854;24552194;39,9797
2025-10-28;40,64;40,64;40,04;40,37;40,37;517461;2609;20877966;40,3469
2025-10-27;41,12;41,13;40,48;40,73;40,73;490973;2676;19999834;40,7351
2025-10-24;41,5;41,61;40,62;41,11;41,11;816754;3607;33564527;41,095
2025-10-23;40,87;41,47;40,64;41,47;41,47;869200;2404;35967564;41,3801
2025-10-22;40,87;41,04;40,73;40,85;40,85;603058;2101;24641964;40,8617
2025-10-21;40,92;41,07;40,55;40,77;40,77;777745;2497;31714041;40,7769
2025-10-20;41,27;41,39;40,87;41,16;41,16;779162;2736;32078855;41,171
2025-10-17;40,95;41,4;40,66;41,27;41,27;641877;3181;26461084;41,2245
2025-10-16;40,8;41,48;40,8;41,46;41,46;1071126;3603;44242629;41,3048
2025-10-15;40,41;42,43;39,81;41,58;41,58;2695886;16686;111762596;41,4567
2025-10-14;37,9;38,86;37,87;38,72;38,72;675418;2207;26075488;38,6064
2025-10-13;38,29;38,57;38;38,18;38,18;483977;1662;18488071;38,2003
2025-10-10;38,48;38,66;38,03;38,07;38,07;598365;2607;22874305;38,228
2025-10-09;37,87;38,46;37,87;38,44;38,44;627062;1981;24062339;38,3731
2025-10-08;37,13;37,74;37,01;37,74;37,74;955547;3203;35962617;37,6356
2025-10-07;37,39;37,41;36,77;37,15;37,15;617523;2556;22921268;37,1181
2025-10-06;37,96;38,04;36,72;37,35;37,35;863763;4556;32235080;37,3194
2025-10-03;39,21;39,26;38,17;38,41;38,41;776000;2775;29924007;38,5619
2025-10-02;38,55;39,14;38,45;39,07;39,07;903883;2854;35253389;39,0022
2025-10-01;38,2;38,49;37,93;38,36;38,36;626445;2346;24004891;38,3192
2025-09-30;38,39;38,5;37,87;38,32;38,32;833422;2271;31902165;38,2785
